,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,3353884557,05/26/2020,,"That was not what I expected.Not that I can define very well what I did expect. I am curious that Ali, after making a splash with this book and writing a few more novels has pretty much disappeared.I supposed I imagined that this book would very strongly a novel of the New Labour era that by now would be well past it's best before date and that it would smell dated and stale. It is dated in that I could see a novelist tackling the same topic might be angrier and there would not be minor touches of optimism like the estate getting a youth centre and the main character's flat finally getting some repairs, (view spoiler)[possibly this 'modern' version I imagine might tie up the Bangladesh and Tower Hamlets stories courtesy of the Bangladesh Awami League  (hide spoiler)].What this is, is a very close portrait of a woman over time, another review mentioned Madame Bovary and Anna Karenina, well yes there is a connection, but that would be a spoiler and in terms of the drive of the story it is only a part of the main character's journey not a decisive (and fatal) hammer blow. Ice Skating and Torvil & Dean are more important ultimately in this story. My sense was that this is much more like a version of The old wives tale, the contrasting lives of two sisters, the adventurous and beautiful Hasina, and her elder sister the dutiful and eager to please Nazneen. The two are brought up in a village in Bangladesh, although at first (view spoiler)[ and that is significant, because this is an evolutionary novel, all about change over time (hide spoiler)] Nazneen, who is married of to an older man and goes with him to London, hankers after that lost world of childhood, Ali is careful not to show us the village as a bucolic idyll. Still it is what Nazneen knew. We learn of Hasina's story through the occasional letters that she sends Nazneen and this is used to advance the story by a few years at one stage.This novel is a great portrayal of London too - not as a teeming, pigeon infested Metropolis with it's sewers full of looming Fatbergs, but as the tight world of a one bedroom flat (later a two bedroom flat) in a shabby council housing estate in Tower Hamlets, when we see; Bishopsgate, Covent Garden or Buckingham Palace they are strange, alien places, other worlds in every sense.I felt also that aside from some jokes, that this was a Victorian novel, the main character is suspiciously reliable, it is mostly scrupulously chronological - flashbacks are clear, there is no whiff of modernism, in literary terms this is a continuation of the novel as Dickens knew it, it is something like David Copperfield, very domestic, starting from the birth running from misery towards non-misery with up's and downs on the way, the wicked Loan Shark - an increasingly elderly Bengali woman with two dim sons as her enforcers, is a Dickensian grotesque as is Nazneen's hapless husband, overweight, with his corns and unheard thesis on white working class racism - though Ali treats him far more tenderly than Dickens' would have, he is something of a Mr Micawber believing that 'something will come up', a promotion, a job, business opportunities - his narrative arc is very (view spoiler)[ sorry for the spoiler (hide spoiler)] similar too. He does get to be the voice of truth and knowledge, despite being a ridiculous and often silly figure in the novel.And then there are jokes (view spoiler)[ ok, not particularly funny ones (hide spoiler)], Nazneen's husband works for Mr Dalloway but is never invited round to his house for the barbecue hosted by his wife, there is a Dr Azad, like his namesake in A Passage to India ashamed of his own house (view spoiler)[ this novel could have been called  A Passage to England - it is very largely Forster's book turned inside out (view spoiler)[ but I am just showering you with spoilers here (hide spoiler)] (hide spoiler)].Clothes are a nice feature of this novel both as character or character's statements of allegiance and outlook. Certainly a good, solid novel, it may not turn your life upside down or keep you awake at night, but is very nicely done.",45,0.9965,0.061,0.782,0.157,0.5080228847834483,NEGATIVE,0.9997
1,1599783073,04/03/2016,,I would have to force myself to finish reading this book and quite frankly I don't want to. Neither like nor care what happens to these characters. ,44,-0.1004,0.129,0.791,0.079,0.0,NEGATIVE,1.0
2,806742433,12/31/2013,4.0,"There's a good reason that Brick Lane was short-listed for the Man Booker award, and was nominated for a whole slew of other prizes too. It is just brilliant. That doesn't mean that it is necessarily fun to read. (A 16 year old Bangladeshi girl is married off to a 40 year old guy in London, and goes there to start a new life in almost poverty. No, not exactly a ""fun"" topic…) However, the descriptions are brilliant, and the story itself is mesmerizing. The subplots are rich and believable. You really feel like you've learned a lot about what it means to be a Blangladeshi immigrant to the UK.However, it does a lot more, namely it urges the reader to think about:* The imposition of passivity on a woman, to the point of making passivity a virtue, something that certainly transcends cultures and limits self-expectations (a theme throughout the book is the main character being left to her Fate at birth)* The experience of any immigrant, and the complex attitudes that the immigrant experience generates both towards the new culture and the old* The deplorable status of women in Bangladesh* The wrenching realization that one is married to an idiot* The nature of marriage itself* The hypocrites that exist in any culture and religion (very ironic that the shameless usurer in the book is named Mrs. Islam)* The way that living in a specific slice of history influences one's opinions and valuesAlthough this book is rather long, the author probably needed the length to address her varied themes. It's a serious book, but often hilarious. It's uplifting, because it speaks of women's empowerment. And it kindled a desire in me to learn more about Bangladesh and its history -- and perhaps go there some day.",35,0.9611,0.025,0.882,0.093,0.4943131087662338,POSITIVE,0.9998
3,129128861,11/03/2010,1.0,Monica Ali's prose is the literary equivalent of a curry with too many cardamom seeds.,28,0.0,0.0,1.0,0.0,0.3,NEGATIVE,0.9973
4,1428668434,10/29/2015,3.0,"I thought this book was really interesting as it gave an insight into being an immigrant in England and it also gave insights into life in Bangladesh. Of course, Monica Ali has been scrutinised because she doesn't speak fluent Bangladeshi etc and I know nothing about the being an immigrant myself but I felt like the representation she gave felt really authentic. I thought the characters were brilliant. They were really interesting and I felt like nearly every one of them added to the story. They weren't just devices to the main character, in fact, I would say Nazneen was sort of like a device for them to be portrayed. Nazneen was a silent observer. The amount of things she observed was unreal. Even if a character didn't say much, Nazneen observed what they were doing physically and that gave us such an insight into characters. I feel like Nazneen was the way she was because Ali wanted her that way. I thought Nazneen's inner-monologue was similar to that of a third person narration that sees all. The story was kind of slow but for good reason. Nothing thrilling or exciting happened and that's because it mainly focused on a family. So because of that the pacing was sometimes unbearable but I can understand why. I actually liked the ending a lot. I think it ends with a bit of hope and maybe that's a bit of a cop-out but I'm a sucker for hopeful endings. I would recommend this book to people who think that they'll enjoy it but just be aware it's quite slow. I would probably read another book by Monica Ali. ",25,0.991,0.038,0.79,0.171,0.504761904761905,POSITIVE,0.9941
5,3936613227,04/10/2021,,"So I read this because I felt I should have read it – which is not an ideal way to read a book, and that’s on me.But I think maybe … it hasn’t aged so well? It feels like the kind of book that would be shortlisted for the Booker circa 2003. And, to be fair, I think that says more about the kind of books a white British audience wants to read about non-white British people than about non-white British people themselves or, indeed, non-white British authors. So the deal here is that the novel takes place between 1985 and 2002. It’s mostly set on an imaginary council estate near Tower Hamlets and mostly centres on Nazneen—a virgin bride sent to London from a Bangladeshi village to marry Chanu, an older and self-described ‘educated’ man desperate to establish himself in the UK. Something he singularly and persistently fails to do, through a combination of, uh, what I assume is institutionalised racism and also just, um, being a loser? Hard to entangle that one for sure. Later she has an affair with Karim, a second-generation immigrant, somewhat younger than Nazneen herself, who is radicalised after 9/11 and later vanishes. Finally Nazneen pushes back against her life of submission and decides to stay in London with her daughters following her husband’s decision to return to Bangladesh.I am having a really hard time to sorting out my thoughts on this one, while also sensible of the fact that it’s not really my place to dig into what this book does or was trying to do. While the character work is really intricate, especially when it comes to Nanzeen and her husband, and does pay off at the end it takes a long time to get there. And a lot of that time is spent essentially trapped in the council flat with Nanzeen which is narratively stifling. As, I guess, it’s supposed to be? There’s also long sections of the book which take the form as letters from Nanzeen’s sister—her scandalous flight from the small village where she and Nanzeen were born precipitated Nanzeen being sent to London—and while I appreciated Hasina’s importance to Nanzeen I did find this sections hard to get through. They didn’t feel fully integrated into the novel’s structure but given the very different paths of Nanzeen and Hasina’s lives, this probably deliberate.More complicated still—and even more beyond the scope of what it’s appropriate for me to talk about—I couldn’t help but feel the characters occasionally came perilously close to falling into “types” that spoke more to, well, white British stereotypes of the immigrant experience? I mean, the silent, submissive Bangladeshi wife? The husband who is full of goals and lofty talk, but has nothing to show for it? The radicalised youth who sees Nanzeen as “untainted” by the west. I just don’t know. And this is why I’m inclined to feel the novel hasn’t aged so well. Obviously I don’t get to say what stories get to be told, nor who gets to tell them but it’s very difficult for me to see, perhaps, what this book might say to a British Bangladeshi reader in 2021. I’m not quite sure what it says to me as a random white person either. Also, for a novel called Brick Lane, I found it surprisingly lacking in sense of place. But since alienation is one of the major themes of the novel, maybe that too is necessary?I did appreciate the writing here, though. And I’m glad the read the book. I feel singularly incapable of engaging with it usefully though.",23,0.973,0.055,0.858,0.088,0.4098952641165755,NEGATIVE,0.9997
6,743526518,10/17/2013,4.0,"I did enjoy this novel; it goes at a good pace and there is a warmth about it that I appreciated. The structure of the novel is interesting. Nazneen is born in a village in Bangladesh; when old enough she is married to Chanu, a much older man who lives in England. She goes to England as a bride in her teens in 1985. The story follows her over the next years (until 2002) as she has children and mixes with the Bangladeshi community around Brick Lane. The novel also cuts to her sister Hasina back in Bangladesh periodically. There are memorable characters in the Bangladeshi community, each coping with being in a strange culture in different ways; some by blending in others by keeping apart.Nazneen’s husband Chanu turns out to be a decent man (he doesn’t beat her); he wants a simple village girl to look after him and doesn’t allow Nazneen to learn English, as she doesn’t need it. The novel is tragic and comic, although the comedy is restrained, it is still there. Ali describes physicality very well; you do get a sense of the characters by the descriptions of physical habits and tics, by the way they wear their clothes, fiddle with their hair and so on.Nazneen develops as the novel goes on and gradually one gets a sense of her becoming rounded as an individual, liberated almost. There are also grand themes; religion and its relation to culture, characters cut off from their origins and adrift in a foreign land, adultery, poverty, family tensions; all the stuff of everyday life and high drama. There are correlations with Madame Bovary and Anna Karenina. It is about how much control we have over our lives; can you go back to a dream? It isn’t a simple clash of cultures; it is more nuanced; even Karim, a devout Muslim, is a complex and interesting character. Brick Lane is also a novel about place and the geographical restriction of Nazneen’s life adds to the power of her character development. I know this isn’t a universally loved novel, but I enjoyed it.",21,0.9674,0.034,0.854,0.112,0.4149183673469387,POSITIVE,0.9997
7,4254400,08/08/2007,1.0,"I desperately wanted to like this book. Having lived the immigrant, foreigner, displaced person lifestyle for so long, I wanted this book to capture everything that it means to have lost links with my own personal history in the effort to fit into the culture that's welcomed me into it's monied bosom. But Nazneen is not me. She's a village girl without education and more importantly, the confidence education brings to a traveller navigating a foreign world.I snacked with her in the dead of night, desperate to fill a void opened when I left my home and all things familiar. But when she wandered into meeting of revolutionaries looking for acceptance, I stood at the door and wondered whether she had left her brain at home. And really, why are her sister's letters from home so poorly written. I've never seen a native speaker butcher her own language to the point of becoming incomprehensible as brutally as Hasina does. Of course I worry about the poor girl struggling to face the fate she foolishly chose for herself, but must she do it in such a jarring manner. I wish I hadn't bother to finish the book. I knew how it was going to end early on, but like looking to see what happened in a car crash, I couldn't tear my eyes until the book was over.My time was wasted. And that I resent most of all",21,-0.7444,0.113,0.804,0.083,0.5293478260869565,NEGATIVE,0.9999
8,364320720,07/09/2012,3.0,"This is not what I was expecting. Don’t ask me what I was expecting because it is not a definable quantity and defies explanation but when I bought this book on a whim because I liked the juxtaposition of white background and colourful printed letters, this was not it.Ali has created a book for those who love the microscopic and want a very detailed picture of a very limited section of space and time. Hold on you might say, this book moves from 1985 and Nazneen’s arrival in England all the way up to and beyond 9/11 so how can that be microscopic. That’s a good 15 years plus some. Yes, it does cover this ground but it covers this ground in the same way that Bill and Ted covered all the major periods of history in their righteous phone box. By jumping about a lot with no real overall picture. But anyway it’s obvious that Monica Ali did not set out to create a worldly overview. Instead it is and was always about Nazneen. And it is through the eyes of Nazneen and her sisters epistles that the story is told. What’s the story? Primarily that life as a bride in an arranged marriage, on a council estate in a country where you don’t speak the language and hold no currency (I think I may have accidentally started quoting a Paul Simon song but never mind), is going to be largely devoid of joy. And it is up to a point. However the other side of the coin is that joy can be found in the most unpromising of places and under surprising circumstances and that just because your life is one way, does not mean it always has to be so. The power of change lies within you. Shocked? Really, you’re not? I wasn’t either but hey, it’s part of the story so it has to go in the review.The cast of characters who are fully fleshed out are fairly limited; Nazneen, her husband Chanu and their two daughters Shahana and Bibi are all well developed -you might find them dull, but that’s another issue. Karim is an object of lust with eminently describable forearms and mercurial dress sense and the usurer Mrs Islam, friendly Razia, and unemotional Dr Azad are all quite memorable.For me, youngest daughter Bibi was the stand-out character (she is the reason for the third star). She doesn’t say anything - well maybe a couple of lines but Monica Ali imbued her with a sense of personality purely through the descriptions of her physical stance, her hair-chewing proclivities and her general watchfulness that gave me a greater sense of her motivations and personality than all of Chanu’s chatter or Mrs Islam’s outrageous theatrics. If you want a big story where a lot happens then you need to walk away from this book immediately or be endlessly annoyed. If you want a tiny but very detailed slice of life pie to chew on then bring a plate and a fork because you’ve found it.",20,0.9542,0.063,0.844,0.093,0.4384978991596638,NEGATIVE,0.9998
9,2039465032,06/24/2017,2.0,"Rating: 2* of fiveA long succession of standard tropes, cliched dialogue, and stock characters made somehow new and fresh by the fact that they're all of Indian descent.Frankly, I found it lazy and felt the decent author behind the blandness of the book should be given a ""D""--not passing, not failing, not much of anything at all. I'll pass on this one's career. Returned to my facility's library shelves, with a slight twinge of guilt for not putting it in the little free library just down the boardwalk instead.",20,0.638,0.049,0.847,0.104,0.473063973063973,NEGATIVE,1.0
